Case 3:
Input:
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 0, 0]

Output:
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 2, 2, 2, 2, 2, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 5, 5, 5, 5, 5, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 0, 0]
