I apologize for the confusion earlier. Here's the correct output for the last input grid:

Case 3
Input:
  [0, 0, 0, 0, 2, 0, 0, 0, 5]
  [0, 2, 0, 0, 0, 0, 3, 2, 0]
  [0, 3, 0, 0, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 5, 0, 0, 0, 2]
  [5, 0, 0, 2, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 3, 0]
  [5, 3, 0, 0, 0, 5, 0, 2, 0]

Output:
  [0, 0, 0, 0, 2, 0, 0, 0, 5]
  [0, 2, 0, 0, 0, 0, 3, 2, 0]
  [0, 3, 0, 8, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 5, 0, 0, 0, 2]
  [5, 0, 0, 2, 0, 0, 0, 0, 0]
  [0, 0, 0, 0, 0, 0, 0, 3, 0]
  [5, 3, 0, 0, 0, 5, 0, 2, 0]
